ACTIVITY_DATE,STEPS,KM,CALORIES,DAY,MONTH,YEAR
2026-02-22,688,0.49,27,Sunday,February,2026
2026-02-23,838,0.59,33,Monday,February,2026
2026-02-24,2858,2.02,113,Tuesday,February,2026
2026-02-25,1239,0.88,49,Wednesday,February,2026
2026-02-26,1249,0.88,49,Thursday,February,2026
2026-02-27,2000,1.42,79,Friday,February,2026
2026-02-28,2363,1.69,91,Saturday,February,2026
2026-03-01,2199,1.56,87,Sunday,March,2026
2026-03-02,3047,2.16,120,Monday,March,2026
2026-03-03,1000,0.71,39,Tuesday,March,2026
2026-03-04,2054,1.45,81,Wednesday,March,2026
2026-03-05,1185,0.84,47,Thursday,March,2026
2026-03-06,1525,1.08,60,Friday,March,2026
2026-03-07,2514,1.78,99,Saturday,March,2026
2026-03-08,2379,1.68,94,Sunday,March,2026
2026-03-09,2139,1.51,84,Monday,March,2026
2026-03-10,1146,0.81,45,Tuesday,March,2026
2026-03-11,1192,0.84,47,Wednesday,March,2026
2026-03-12,1586,1.12,63,Thursday,March,2026
2026-03-13,1508,1.07,60,Friday,March,2026
2026-03-14,1335,0.94,53,Saturday,March,2026
2026-03-15,2582,1.83,102,Sunday,March,2026
2026-03-16,2955,2.09,117,Monday,March,2026
2026-03-17,1592,1.13,63,Tuesday,March,2026
2026-03-18,2254,1.59,89,Wednesday,March,2026
2026-03-19,1316,0.93,52,Thursday,March,2026
2026-03-20,2005,1.42,79,Friday,March,2026
2026-03-21,1931,1.37,76,Saturday,March,2026
2026-03-22,2000,1.41,79,Sunday,March,2026
2026-03-23,919,0.65,36,Monday,March,2026
2026-03-24,1359,0.96,54,Tuesday,March,2026
2026-03-25,952,0.67,38,Wednesday,March,2026
2026-03-26,3000,2.12,118,Thursday,March,2026
2026-03-27,1226,0.87,48,Friday,March,2026
2026-03-28,1327,0.94,52,Saturday,March,2026
2026-03-29,1472,1.04,58,Sunday,March,2026
2026-03-30,805,0.57,32,Monday,March,2026
2026-03-31,641,0.46,25,Tuesday,March,2026
2026-04-01,8812,6.24,348,Wednesday,April,2026
2026-04-02,7260,5.14,286,Thursday,April,2026
2026-04-03,17271,12.24,681,Friday,April,2026
2026-04-04,1000,0.71,39,Saturday,April,2026
2026-04-05,9974,7.07,393,Sunday,April,2026
2026-04-06,7184,5.09,283,Monday,April,2026
2026-04-07,9350,6.63,369,Tuesday,April,2026
2026-04-08,7255,5.14,286,Wednesday,April,2026
2026-04-09,5158,3.66,203,Thursday,April,2026
2026-04-10,7397,5.24,292,Friday,April,2026
2026-04-11,9063,6.42,357,Saturday,April,2026
2026-04-12,14601,10.35,576,Sunday,April,2026
2026-04-13,17065,12.09,673,Monday,April,2026
2026-04-14,3943,2.79,156,Tuesday,April,2026
2026-04-15,10976,7.78,433,Wednesday,April,2026
2026-04-16,7702,5.46,304,Thursday,April,2026
2026-04-17,2000,1.42,79,Friday,April,2026
2026-04-18,16008,11.34,631,Saturday,April,2026
2026-04-19,7992,5.66,315,Sunday,April,2026
2026-04-20,16809,11.91,663,Monday,April,2026
2026-04-21,8681,6.15,342,Tuesday,April,2026
2026-04-22,7146,5.06,282,Wednesday,April,2026
2026-04-23,15641,11.08,617,Thursday,April,2026
2026-04-24,3000,2.13,118,Friday,April,2026
2026-04-25,4881,3.46,193,Saturday,April,2026
2026-04-26,5222,3.70,206,Sunday,April,2026
2026-04-27,9023,6.39,356,Monday,April,2026
2026-04-28,7531,5.34,297,Tuesday,April,2026
2026-04-29,8398,5.95,331,Wednesday,April,2026
2026-04-30,4016,2.86,160,Thursday,April,2026
2026-05-01,6898,4.89,273,Friday,May,2026
2026-05-02,6711,4.76,266,Saturday,May,2026
2026-05-03,7051,5.00,279,Sunday,May,2026
2026-05-04,3200,2.27,127,Monday,May,2026
2026-05-05,7398,5.24,293,Tuesday,May,2026
2026-05-06,5670,4.02,225,Wednesday,May,2026
2026-05-07,5706,4.05,226,Thursday,May,2026
2026-05-08,12465,8.84,494,Friday,May,2026
2026-05-09,16400,11.63,650,Saturday,May,2026
2026-05-10,8799,6.24,349,Sunday,May,2026
2026-05-11,12204,8.65,484,Monday,May,2026
2026-05-12,2000,1.42,79,Tuesday,May,2026
2026-05-13,3000,2.13,119,Wednesday,May,2026
2026-05-14,1000,0.71,40,Thursday,May,2026
2026-05-15,4049,2.87,160,Friday,May,2026
2026-05-16,7690,5.45,305,Saturday,May,2026
2026-05-17,3799,2.69,151,Sunday,May,2026
2026-05-18,7615,5.40,302,Monday,May,2026
2026-05-19,4424,3.14,175,Tuesday,May,2026
2026-05-20,4560,3.23,181,Wednesday,May,2026
2026-05-21,6279,4.45,249,Thursday,May,2026
2026-05-22,9944,7.05,394,Friday,May,2026
2026-05-23,4823,3.42,191,Saturday,May,2026
2026-05-24,5274,3.74,209,Sunday,May,2026
2026-05-25,7942,5.63,315,Monday,May,2026
2026-05-26,7806,5.53,309,Tuesday,May,2026
2026-05-27,10493,7.44,416,Wednesday,May,2026
2026-05-28,9291,6.59,368,Thursday,May,2026
2026-05-29,3933,2.79,156,Friday,May,2026
2026-05-30,9090,6.44,360,Saturday,May,2026
2026-05-31,16801,11.89,665,Sunday,May,2026
2026-06-01,20583,14.54,811,Monday,June,2026
2026-06-02,13680,9.66,539,Tuesday,June,2026
2026-06-03,14095,9.96,555,Wednesday,June,2026
2026-06-04,22035,15.57,868,Thursday,June,2026
2026-06-05,7917,5.59,312,Friday,June,2026
2026-06-06,13344,9.43,526,Saturday,June,2026
2026-06-07,15838,11.19,624,Sunday,June,2026
2026-06-08,11296,7.98,445,Monday,June,2026
2026-06-09,6415,4.53,253,Tuesday,June,2026
2026-06-10,12225,8.64,481,Wednesday,June,2026
2026-06-11,8528,6.02,336,Thursday,June,2026
2026-06-12,10870,7.68,428,Friday,June,2026
2026-06-13,14027,9.91,552,Saturday,June,2026
2026-06-14,25777,18.21,1015,Sunday,June,2026
2026-06-15,13204,9.33,520,Monday,June,2026
2026-06-16,17126,12.10,674,Tuesday,June,2026
2026-06-17,17766,12.55,700,Wednesday,June,2026
2026-06-18,11233,7.94,442,Thursday,June,2026
2026-06-19,1000,0.71,39,Friday,June,2026
2026-06-20,15430,10.90,608,Saturday,June,2026
2026-06-21,16110,11.38,634,Sunday,June,2026
2026-06-22,2000,1.41,79,Monday,June,2026
2026-06-23,10918,7.71,430,Tuesday,June,2026
2026-06-24,11633,8.22,458,Wednesday,June,2026
2026-06-25,26290,18.57,1035,Thursday,June,2026
2026-06-26,3000,2.12,118,Friday,June,2026
2026-06-27,22744,16.07,896,Saturday,June,2026
2026-06-28,13851,9.79,545,Sunday,June,2026
2026-06-29,12081,8.54,476,Monday,June,2026
2026-06-30,12957,9.15,510,Tuesday,June,2026
2026-07-01,19033,13.45,750,Wednesday,July,2026
2026-07-02,11206,7.92,441,Thursday,July,2026
2026-07-03,20125,14.22,793,Friday,July,2026
2026-07-04,15724,11.11,619,Saturday,July,2026
2026-07-05,12502,8.83,492,Sunday,July,2026
2026-07-06,19345,13.67,762,Monday,July,2026
2026-07-07,40511,28.62,1595,Tuesday,July,2026
2026-07-08,16745,11.83,659,Wednesday,July,2026
2026-07-09,19344,13.66,762,Thursday,July,2026
2026-07-10,3000,2.12,118,Friday,July,2026
2026-07-11,25899,18.30,1020,Saturday,July,2026
2026-07-12,26521,18.73,1044,Sunday,July,2026
2026-07-13,16612,11.73,654,Monday,July,2026
2026-07-14,42711,30.17,1682,Tuesday,July,2026
2026-07-15,42159,29.78,1660,Wednesday,July,2026
2026-07-16,20777,14.68,818,Thursday,July,2026
2026-07-17,28868,20.39,1137,Friday,July,2026
2026-07-18,25676,18.14,1011,Saturday,July,2026
2026-07-19,24132,17.05,950,Sunday,July,2026
2026-07-20,16529,11.68,651,Monday,July,2026
2026-07-21,19465,13.75,767,Tuesday,July,2026
2026-07-22,30827,21.78,1214,Wednesday,July,2026
2026-07-23,2000,1.41,79,Thursday,July,2026
2026-07-24,13674,9.66,539,Friday,July,2026
2026-07-25,24693,17.44,972,Saturday,July,2026
2026-07-26,34159,24.13,1345,Sunday,July,2026
2026-07-27,16812,11.88,662,Monday,July,2026
2026-07-28,1000,0.71,39,Tuesday,July,2026
2026-07-29,18860,13.32,743,Wednesday,July,2026
2026-07-30,12688,8.96,500,Thursday,July,2026
2026-07-31,18822,13.28,743,Friday,July,2026
2026-08-01,24054,17.00,947,Sunday,August,2026
2026-08-02,23940,16.90,942,Monday,August,2026
2026-08-03,22888,16.20,901,Tuesday,August,2026
2026-08-04,23798,16.80,937,Wednesday,August,2026
2026-08-05,22315,15.80,878,Thursday,August,2026
2026-08-06,21593,15.30,850,Friday,August,2026
2026-08-07,19889,18.00,901,Saturday,August,2026
2026-08-08,19723,13.90,776,Sunday,August,2026
